url	class
http://184.168.143.37/alexa/Alexa_3.html	negative
http://184.168.143.37/alexa/Alexa_37.html	negative
http://184.168.143.37/alexa/alexa_5.html	negative
http://184.168.143.37/alexa/Alexa_7.html	negative
http://184.168.143.37/alexa/Alexa_8.html	negative
http://1topix.com/pozycjonowanie-i-optymalizacja-seo-forum-pio/	negative
http://2012.revenuetrends.pl/	positive
http://2012.socialenterprise.pl/	positive
http://2014.best-marketing-cases.pl/	positive
http://2014.generationmobile.pl/	positive
http://2014.gitmarketing.pl/	positive
http://2014.mobiletrends.pl/	positive
http://2014jesien.ecommercetrends.pl/	positive
http://2014update.aduniverse.pl/	positive
http://20ojrodziennie.blogspot.com/2010/10/10-miejsc-ktore-musisz-znac-by-zarabiac.html	positive
http://25107.pl-testasquora.eu/	negative
http://2dboy.com/2010/11/21/world-of-goo-on-ipad-releasing-soon/	positive
http://325.pl/	negative
http://325.pl/terminy.php	positive
http://4poryroku-lubin.pl.tl/	negative
http://4poryroku-lubin.pl.tl/Strona-Startowa.htm	negative
http://4run.pl/partnerzy	positive
http://5stars-kaliningrad.ru/aviatury-iz-polshi/	negative
http://74.200.86.241/	negative
http://74.200.86.241/link-popularity.php	negative
http://90festival.pl/	positive
http://abwebnagpur.in/alexa-top-1-million-sites-2/	negative
http://adi.pl/przyjaciele/	positive
http://adresy.com/nowa,itaka,sp,z,oo,-,salon,firmowy,warszawa,grazyny,1,rog,pulawskiej,B18RAAdfEQA.html	negative
http://afrikat.com/partners/	positive
http://afrikatcatamarangranca.apps-1and1.net/nl/partners-2/	positive
http://agatour.ehost.pl/wycieczki_zagraniczne.html	positive
http://agregator-blogow-reklama-i-promocja.blogspot.com/	positive
http://agroturystykakarkonosze.pl/	positive
http://airport.lodz.pl/en/summer-2015.html	positive
http://airport.lodz.pl/mobile/en/index.html	positive
http://airport.wroclaw.pl/en/2011/11/24/its-time-to-think-about-holidays/	positive
http://airport.wroclaw.pl/pasazer/czartery/dokad-latamy/egipt/	positive
http://akson.sgh.waw.pl/~ubik/lycos/tppmsgs/msgs1.htm	negative
http://akson.sgh.waw.pl/samorzad/forum/viewtopic.php?t=31321	positive
http://akson.sgh.waw.pl/samorzad/forum/viewtopic.php?t=32250	positive
http://alarmowka2.blogspot.com/	negative
http://albahotels.com.tr/Home/Alba_Resort_Hotel	positive
http://alergolog-trojmiasto.pl/nasze-odzywianie	positive
http://alergolog-trojmiasto.pl/specjalista-pomoze-rozwiazac-problem	positive
http://alergologia.rzeszow.pl/jakiego-rodzaju-dzialalnoscia-zajmuje-sie-optyk	positive
http://alexba.eu/2008-02-29/rozwoj-kariera-praca/historia-pewnej-rekomendacji-jak-wykorzystywac-kontakty/	negative
http://alfacentrum.pl/title,wakacje_pl,pid,18,mid,1,event,shopdetails,sid,81,bid,9.html	positive
http://alfacentrum.pl/title,wakacjepl,pid,20,mid,1,event,shopdetails,sid,81.html	positive
http://all8.pl/sport,i,turystyka/noclegi,ada,s,5499/	negative
http://altbay.pl/internet,i,komputery/gry,przez,przegladarke,s,378/	negative
http://amazonki.net/dyskusje/feed.php?278,55183,type=rss	positive
http://amazonki.net/dyskusje/read.php?278,55183	positive
http://aneta-fr.blogspot.com/	negative
http://animacjaigrafika.pl/krytyka/o-pozycjonowaniu-slow-kilka/	positive
http://ankietyinfo.blogspot.co.uk/2014/09/moja-opinia-o-surveycomparepl.html	positive
http://ankietyinfo.blogspot.com/	positive
http://ankietyinfo.blogspot.com/2012/08/kilka-sow-o-mobrog.html	positive
http://ankietyinfo.blogspot.de/2014/12/toluna-wyzwanie.html	positive
http://anofinblogs.blogspot.com/2011/01/criminal-court-120-55-queens-blvd.html	negative
http://antyweb.pl/gdy-google-stwierdzi-ze-twoja-strona-jest-niebezpieczna-to-wiedz-ze-masz-duzy-problem/	positive
http://antyweb.pl/platforma-handlowa-mybaze-com-wchodzi-do-polski/	positive
