domain	url	http_code	domain_whois_created	domain_whois_changed	domain_whois_expires	domain_internet_archive_created	domain_moz_domain_authority	domain_moz_mozrank	links	external_equity_links	document_html_length	document_text_length	document_text_to_html_ratio	document_html_meta_title_length	document_html_meta_description_length	document_html_meta_keyword_length	document_links_count	document_links_attr_follow_count	document_links_attr_nofollow_count	document_website_links_attr_follow_count	document_website_links_attr_nofollow_count	document_link_distribution_range_1	document_link_distribution_range_2	document_link_distribution_range_3	document_link_distribution_range_4	document_link_distribution_range_5	document_website_link_distribution_range_1	document_website_link_distribution_range_2	document_website_link_distribution_range_3	document_website_link_distribution_range_4	document_website_link_distribution_range_5	document_external_link_distribution_range_1	document_external_link_distribution_range_2	document_external_link_distribution_range_3	document_external_link_distribution_range_4	document_external_link_distribution_range_5	document_performance_total_time	document_performance_speed_download	document_security_google_safe_browsing
184.168.143.37	http://184.168.143.37/alexa/Alexa_3.html	200	NULL	NULL	NULL	2013-04-17 08:57:07.0000	9.8686	0.0000	0.0000	0.0000	423574	104175	24.5943	74	58	44	5196	5196	0	0	0	996	1046	1036	1034	1084	NULL	NULL	NULL	NULL	NULL	995	1046	1036	1034	889	1.8687	226666	0
184.168.143.37	http://184.168.143.37/alexa/Alexa_37.html	200	NULL	NULL	NULL	2013-04-17 08:57:07.0000	9.8686	0.0000	0.0000	0.0000	443820	116797	26.3163	75	59	44	5196	5196	0	1	0	998	1035	1043	1031	1089	NULL	NULL	1	NULL	NULL	997	1035	1043	1031	894	1.8663	237806	0
184.168.143.37	http://184.168.143.37/alexa/alexa_5.html	200	NULL	NULL	NULL	2013-04-17 08:57:07.0000	9.8686	0.0000	0.0000	0.0000	425484	105127	24.7076	77	61	44	5196	5196	0	1	0	996	1042	1036	1038	1084	1	NULL	NULL	NULL	NULL	995	1042	1036	1038	889	1.8499	230009	0
184.168.143.37	http://184.168.143.37/alexa/Alexa_7.html	200	NULL	NULL	NULL	2013-04-17 08:57:07.0000	9.8686	0.0000	0.0000	0.0000	426230	105501	24.7521	76	60	44	5196	5196	0	0	0	994	1038	1040	1040	1084	NULL	NULL	NULL	NULL	NULL	993	1038	1040	1040	889	1.8945	224979	0
184.168.143.37	http://184.168.143.37/alexa/Alexa_8.html	200	NULL	NULL	NULL	2013-04-17 08:57:07.0000	9.8686	0.0000	0.0000	0.0000	427196	105984	24.8092	76	60	44	5196	5196	0	1	0	996	1042	1040	1036	1082	1	NULL	NULL	NULL	NULL	995	1042	1040	1036	887	1.9046	224296	0
1topix.com	http://1topix.com/pozycjonowanie-i-optymalizacja-seo-forum-pio/	200	NULL	NULL	NULL	2007-06-20 23:51:04.0000	NULL	NULL	NULL	NULL	25732	1784	6.9330	52	122	0	27	21	6	2	0	3	6	4	5	9	NULL	2	NULL	NULL	NULL	NULL	2	1	NULL	NULL	1.4252	18055	0
2012.revenuetrends.pl	http://2012.revenuetrends.pl/	200	NULL	NULL	NULL	2013-01-20 17:04:55.0000	24.1660	5.0555	350.0000	337.0000	27468	5673	20.6531	19	0	0	109	109	0	1	0	40	17	31	11	10	NULL	NULL	1	NULL	NULL	33	6	31	11	1	0.2569	106933	0
2012.socialenterprise.pl	http://2012.socialenterprise.pl/	200	NULL	NULL	NULL	2013-09-09 02:20:26.0000	23.1613	5.0554	348.0000	332.0000	30046	6943	23.1079	22	0	0	113	113	0	1	0	43	27	24	8	11	NULL	NULL	1	NULL	NULL	33	14	24	8	2	0.2567	117026	0
2014.best-marketing-cases.pl	http://2014.best-marketing-cases.pl/	401	NULL	NULL	NULL	NULL	25.4003	5.2861	327.0000	297.0000	495	344	69.4949	26	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.1203	4114	0
2014.generationmobile.pl	http://2014.generationmobile.pl/	200	NULL	NULL	NULL	2014-03-12 01:37:04.0000	32.4508	5.5320	533.0000	471.0000	28643	4507	15.7351	25	0	0	109	109	0	1	0	36	19	31	12	11	NULL	NULL	1	NULL	NULL	29	9	15	12	2	0.2635	108704	0
2014.gitmarketing.pl	http://2014.gitmarketing.pl/	200	NULL	NULL	NULL	2014-06-26 09:17:57.0000	21.9197	5.0611	366.0000	348.0000	24035	5036	20.9528	19	0	0	84	84	0	1	0	31	14	30	5	4	NULL	NULL	1	NULL	NULL	25	9	18	6	1	0.2443	98384	0
2014.mobiletrends.pl	http://2014.mobiletrends.pl/	200	NULL	NULL	NULL	2013-09-20 03:04:25.0000	40.5888	5.1485	654.0000	43.0000	21568	2147	9.9546	36	0	0	108	108	0	1	0	13	25	22	34	14	NULL	NULL	NULL	1	NULL	3	NULL	17	34	10	0.3109	69366	0
2014jesien.ecommercetrends.pl	http://2014jesien.ecommercetrends.pl/	200	NULL	NULL	NULL	2014-07-23 13:29:14.0000	36.6404	5.3173	407.0000	310.0000	32498	5929	18.2442	25	0	0	124	124	0	1	0	46	23	33	11	11	NULL	NULL	1	NULL	NULL	34	7	31	11	2	0.3405	95450	0
2014update.aduniverse.pl	http://2014update.aduniverse.pl/	200	NULL	NULL	NULL	2014-06-11 06:09:51.0000	28.6391	5.1428	391.0000	358.0000	29987	6751	22.5131	22	0	0	107	107	0	1	0	43	20	32	NULL	11	NULL	NULL	1	NULL	NULL	34	5	32	NULL	2	0.2656	112885	0
20ojrodziennie.blogspot.com	http://20ojrodziennie.blogspot.com/2010/10/10-miejsc-ktore-musisz-znac-by-zarabiac.html	200	NULL	NULL	NULL	2011-04-19 22:19:05.0000	NULL	NULL	NULL	NULL	91327	9388	10.2795	72	0	55	179	166	13	1	0	2	26	42	82	8	NULL	1	NULL	NULL	NULL	NULL	18	28	10	5	0.3485	262022	0
25107.pl-testasquora.eu	http://25107.pl-testasquora.eu/	200	NULL	NULL	NULL	NULL	1.0000	0.0000	0.0000	0.0000	12446	5546	44.5605	66	0	0	29	29	0	2	0	8	4	2	2	13	NULL	NULL	NULL	2	NULL	7	2	1	2	9	0.2374	52417	0
2dboy.com	http://2dboy.com/2010/11/21/world-of-goo-on-ipad-releasing-soon/	200	NULL	NULL	NULL	2007-02-28 11:22:20.0000	60.1391	6.3605	15774.0000	6871.0000	48570	19298	39.7323	86	0	0	189	155	34	0	1	24	36	27	28	73	NULL	1	NULL	NULL	NULL	7	13	5	5	2	1.6552	29344	0
325.pl	http://325.pl/	200	NULL	NULL	NULL	2010-07-07 07:37:58.0000	NULL	NULL	NULL	NULL	4476	1924	42.9848	24	0	0	20	19	1	1	0	1	1	6	9	3	NULL	NULL	NULL	NULL	1	NULL	NULL	1	NULL	3	0.0823	54367	0
325.pl	http://325.pl/terminy.php	200	NULL	NULL	NULL	2010-07-07 07:37:58.0000	NULL	NULL	NULL	NULL	4677	2081	44.4943	36	0	0	20	19	1	1	0	1	1	5	10	3	NULL	NULL	NULL	NULL	1	NULL	NULL	1	NULL	3	0.2190	21359	0
